,node,label,species,PPO1,PPO1_qc,PPO2,PPO2_qc,PPO3,PPO3_qc,PPO4,PPO4_qc,ppo_pseudogene,ppo_notes,cdtb_count,cdtb_exons,cdtb_qc,cdtb_presence,cdtb_locus,notes_defensetype,mechanism,source,DOI,code,evidence_for_em
1,147,SCAPTOMYZA_REDUCTA,Scaptomyza reducta,1,intact,1,intact,0,intact,0,intact,,,7,2/2/2/2/2/2/2,intact,1,1,NA,NA,NA,NA,NA,NA
2,144,SCAPTOMYZA_PARVA,Scaptomyza parva,1,intact,1,intact,0,intact,0,intact,,,4,2/2/2/1,intact,1,1,NA,NA,NA,NA,NA,NA
3,178,DROSOPHILA_SUBOCCIDENTALIS,Drosophila suboccidentalis,1,intact,1,intact,0,intact,0,intact,,,4,2/1/2/1,intact,1,1,NA,NA,NA,NA,NA,NA
4,182,DROSOPHILA_SUBPALUSTRIS,Drosophila subpalustris,1,intact,1,intact,0,intact,0,intact,,,3,2/2/2,intact,1,1,NA,NA,NA,NA,NA,NA
5,327,DROSOPHILA_PANDORA,Drosophila pandora,1,intact,1,intact,0,intact,0,intact,,,4,3/3/5/5,intact,1,2,NA,NA,NA,NA,NA,NA
6,328,DROSOPHILA_PARAPALLIDOSA,Drosophila parapallidosa,1,intact,1,intact,0,intact,0,intact,,,3,3/3/5,intact,1,2,NA,NA,NA,NA,NA,NA
7,329,DROSOPHILA_ANOMALATA,Drosophila anomalata,1,intact,1,intact,0,intact,0,intact,,,4,3/3/5/5,intact,1,2,NA,NA,NA,NA,NA,NA
8,330,DROSOPHILA_ANANASSAE,Drosophila ananassae,1,intact,1,intact,0,intact,0,intact,,,3,3/5/5,intact,1,2,,"Encapsulation, no melanization",Markus 2015,https://doi.org/10.1159/000369618,2,0
9,82,DROSOPHILA_LACERTOSA,Drosophila lacertosa,1,intact,1,intact,0,intact,0,intact,,,2,1/1,pseud_part,1,1,NA,NA,NA,NA,NA,NA
10,149,SCAPTOMYZA_TUMIDULA,Scaptomyza tumidula,1,intact,1,intact,0,intact,0,intact,,,2,2/2,intact,1,1,NA,NA,NA,NA,NA,NA
11,173,DROSOPHILA_HISTRIO,Drosophila histrio,1,intact,1,intact,0,intact,0,intact,,,2,2/2,intact,1,1,NA,NA,NA,NA,NA,NA
12,175,DROSOPHILA_LIMBATA,Drosophila limbata,1,intact,1,intact,0,intact,0,intact,,,2,2/1,intact,1,1,NA,NA,NA,NA,NA,NA
13,176,DROSOPHILA_GUTTIFERA,Drosophila guttifera,1,intact,1,intact,0,intact,0,intact,,,2,1/2,intact,1,1,NA,NA,NA,NA,NA,NA
14,179,DROSOPHILA_RECENS,Drosophila recens,1,intact,1,intact,0,intact,0,intact,,,2,2/2,intact,1,1,NA,NA,NA,NA,NA,NA
15,189,DROSOPHILA_PUTRIDA,Drosophila putrida,1,intact,1,intact,0,intact,0,intact,,,2,2/1,intact,1,1,,Neither encapsulation nor melanization,Streams 1968,https://doi.org/10.1093/aesa/61.1.158,4,0
16,191,DROSOPHILA_NEOTESTACEA,Drosophila neotestacea,2,intact,1,intact,0,intact,0,intact,,,2,1/2,inc,1,1,NA,NA,NA,NA,NA,NA
17,192,DROSOPHILA_TESTACEA,Drosophila testacea,2,intact,1,intact,0,intact,0,intact,,,2,1/1,pseud_part,1,1,NA,NA,NA,NA,NA,NA
18,197,DROSOPHILA_PARTHENOGENETICA,Drosophila parthenogenetica,1,intact,1,intact,0,intact,0,intact,,,2,3/3,intact,1,4,NA,NA,NA,NA,NA,NA
19,331,DROSOPHILA_PALLIDOSA,Drosophila pallidosa,1,intact,1,intact,0,intact,0,intact,,,3,3/3/5,intact,1,2,study only characterized blood cells,"Encapsulation, no melanization",Markus 2015,https://doi.org/10.1159/000369619,2,0
20,332,DROSOPHILA_ATRIPEX,Drosophila atripex,1,intact,1,intact,0,intact,0,intact,,,2,3/5,intact,1,2,study only characterized blood cells,"Encapsulation, no melanization",Markus 2015,https://doi.org/10.1159/000369622,2,0
21,333,DROSOPHILA_MONIERI,Drosophila monieri,1,intact,1,intact,0,intact,0,intact,,,2,3/5,intact,1,2,NA,NA,NA,NA,NA,NA
22,334,DROSOPHILA_PSEUDOANANASSAEPSEUDOANANASSAE,Drosophila pseudoananassae pseudoananassae,1,intact,1,intact,0,intact,0,intact,,,2,3/5,intact,1,2,study only characterized blood cells,"Encapsulation, no melanization",Markus 2015,https://doi.org/10.1159/000369621,2,0
23,335,DROSOPHILA_MALERKOTLIANAMALERKOTLIANA,Drosophila malerkotliana malerkotliana,1,intact,1,intact,0,intact,0,intact,,,2,3/5,intact,1,2,study only characterized blood cells,"Encapsulation, no melanization",Markus 2015,https://doi.org/10.1159/000369621,2,0
24,336,DROSOPHILA_BIPECTINATA,Drosophila bipectinata,1,intact,1,intact,0,intact,0,intact,,,2,3/5,intact,1,2,study only characterized blood cells,"Encapsulation, no melanization",Markus 2015,https://doi.org/10.1159/000369621,2,0
25,337,DROSOPHILA_PARABIPECTINATA,Drosophila parabipectinata,1,intact,1,intact,0,intact,0,intact,,,2,3/5,intact,1,2,study only characterized blood cells,"Encapsulation, no melanization",Markus 2015,https://doi.org/10.1159/000369620,2,0
26,338,DROSOPHILA_VARIANS,Drosophila varians,1,intact,1,intact,0,intact,0,intact,,,2,3/5,intact,1,2,NA,NA,NA,NA,NA,NA
27,340,DROSOPHILA_ERCEPEAE,Drosophila ercepeae,1,intact,1,intact,0,intact,0,intact,,,2,3/5,intact,1,2,NA,NA,NA,NA,NA,NA
28,341,DROSOPHILA_MERINA,Drosophila merina,1,intact,1,intact,0,intact,0,intact,,,2,3/5,intact,1,2,NA,NA,NA,NA,NA,NA
