species,ppo_count,taxonomy,alt_taxon,source,
Aedes aegypti,10,Culicidae,Diptera_other,https://www.pnas.org/doi/10.1073/pnas.2413131122,
Aedes albopictus,16,Culicidae,Diptera_other,https://www.pnas.org/doi/10.1073/pnas.2413131122,
Anopheles gambiae,9,Culicidae,Diptera_other,https://www.pnas.org/doi/10.1073/pnas.2413131122,
Culex quinquefasciatus,9,Culicidae,Diptera_other,https://www.pnas.org/doi/10.1073/pnas.2413131122,
Sabethes cyaneus,6,Culicidae,Diptera_other,NCBI RefSeq,
Hermetia illucens,5,Stratiomyidae,Diptera_other,NCBI RefSeq,
Lutzomyia longipalpis,7,Psychodidae,Diptera_other,NCBI RefSeq,
Rhagoletis pomonella,5,Tephritidae,Diptera_other,NCBI RefSeq,
Bactrocera dorsalis,6,Tephritidae,Diptera_other,NCBI RefSeq,
Bactrocera oleae,4,Tephritidae,Diptera_other,NCBI RefSeq,
Bactrocera tryoni,6,Tephritidae,Diptera_other,NCBI RefSeq,
Zeugodacus cucurbitae,7,Tephritidae,Diptera_other,NCBI RefSeq,
Anastrepha ludens,8,Tephritidae,Diptera_other,NCBI RefSeq,
Anopheles stephensi,5,Culicidae,Diptera_other,NCBI RefSeq,
Cochliomyia hominivorax,9,Calliphoridae,Diptera_other,NCBI RefSeq,
Anopheles funestus,5,Culicidae,Diptera_other,NCBI RefSeq,
Anopheles darlingi,3,Culicidae,Diptera_other,NCBI RefSeq,
Anopheles arabiensis,4,Culicidae,Diptera_other,NCBI RefSeq,
Anopheles coluzzii,3,Culicidae,Diptera_other,NCBI RefSeq,
Episyrphus balteatus,10,Syrphidae,Diptera_other,NCBI RefSeq,
Haematobia irritans,8,Muscidae,Diptera_other,NCBI RefSeq,
Anopheles aquasalis,4,Culicidae,Diptera_other,NCBI RefSeq,
Calliphora vicina,14,Calliphoridae,Diptera_other,NCBI RefSeq,
Anopheles albimanus,3,Culicidae,Diptera_other,NCBI RefSeq,
Bradysia coprophila,5,Sciaridae,Diptera_other,NCBI RefSeq,
Phlebotomus papatasi,4,Psychodidae,Diptera_other,NCBI RefSeq,
Lucilia cuprina ,9,Calliphoridae,Diptera_other,NCBI RefSeq,
Lucilia sericata ,9,Calliphoridae,Diptera_other,NCBI RefSeq,
Stomoxys calcitrans,7,Muscidae,Diptera_other,NCBI RefSeq,
Anastrepha obliqua,8,Tephritidae,Diptera_other,NCBI RefSeq,
Wyeomyia smithii,8,Culicidae,Diptera_other,NCBI RefSeq,
Anopheles merus,6,Culicidae,Diptera_other,NCBI RefSeq,
Teleopsis dalmanii,6,Diopsidae,Diptera_other,NCBI RefSeq,
Anopheles nili,5,Culicidae,Diptera_other,NCBI RefSeq,
Anopheles minimus,9,Culicidae,Diptera_other,NCBI RefSeq,
Anopheles marshallii,5,Culicidae,Diptera_other,NCBI RefSeq,
Anopheles coustani,4,Culicidae,Diptera_other,NCBI RefSeq,
Anopheles ziemanni,4,Culicidae,Diptera_other,NCBI RefSeq,
Eupeodes corollae,5,Syrphidae,Diptera_other,NCBI RefSeq,
