label,bd.ms_0,bd.ms_0.5,bd.ms_0.9,cdtb_presence,cdtb_prop,cdtb_species
GITONA_DISTIGMA,0.08559149,0.067629,0.03132872,n,0,0
DROSOPHILA_BUSCKII,0.1195963,0.1020939,0.06273096,n,0,0
DROSOPHILA_NEOCORDATA,0.252752,0.1828177,0.06449682,n,0,0
RHINOLEUCOPHENGA_AMERICANA,0.09844819,0.08003488,0.04102588,y,0.5,1
LEUCOPHENGA_VARIA,0.1182869,0.104203,0.07184614,y,0.8,1
AMIOTA_MINOR,0.1260805,0.1119769,0.07946651,n,0,0
DROSOPHILA_SALTANS,0.2798747,0.2072088,0.07801608,y,0.833,1
DROSOPHILA_SETIFEMUR,0.05775601,0.03817464,0.01093066,n,0,0
DROSOPHILA_ANANASSAE,0.1585938,0.1306314,0.07025901,y,0.9375,1
DROSOPHILA_SUBBADIA,0.2600849,0.2103772,0.105887,n,0,0
DROSOPHILA_DUNNI,0.2415594,0.1924857,0.0918378,y,0.875,1
DROSOPHILA_PRIMAEVA,0.20558,0.1878479,0.1467224,y,0.285,1
