label,taxonomy,locus,exon_count
WP_137141898.1_endonuclease/exonuclease/phosphatase_family_protein__Azospirillum_brasilense_,Proteobacteria,NA,1
NTW63830.1_hypothetical_protein__Chlorobiaceae_bacterium_,Chlorobiota,NA,1
WP_347986097.1_endonuclease/exonuclease/phosphatase_family_protein__Methylomonas_sp._AM2-LC_,Archaea,NA,1
WP_171014181.1_endonuclease/exonuclease/phosphatase_family_protein__Chitinivorax_sp._B_,Proteobacteria,NA,1
XP_031639861.1_uncharacterized_protein_LOC116351853__Contarinia_nasturtii_,Insect,NA,1
_RHINOLEUCOPHENGA_AMERICANA_JBNMFV010001541_-_putative_cdtb_translation,Drosophilidae,9,3
_DETTOPSOMYIA_NIGROVITTATA.GCA_037040065.1_JBANCX010017073.1_-_putative_cdtb_translation,Drosophilidae,NA,3
_COLOCASIOMYIA_ALOCASIAE_JBNMFS010005811_-_putative_cdtb_translation,Drosophilidae,NA,3
_COLOCASIOMYIA_ALOCASIAE_JBNMFS010005811_-_putative_fusion_cdtB_translation,Drosophilidae,NA,5
XP_022163116.1_uncharacterized_protein_LOC111028693__Myzus_persicae_,Insect,NA,3
_DROSOPHILA_AUSTROSALTANS.nanopore_contig_73_-_g7.t1_translation,Drosophilidae,5,3
_DROSOPHILA_PARTHENOGENETICA.nanopore_contig_103_-_cdtB1_putative_orf_translation,Drosophilidae,4,3
_DROSOPHILA_ARAWAKANA.GCA_018151165_JAECWX01000063_-_putative_cdtb_translation,Drosophilidae,4,3
_DROSOPHILA_ACUTILABELLA.nanopore_contig_20_-_CdtB_translation,Drosophilidae,4,3
_DROSOPHILA_DUNNI.GCA_018152125_JAECXC010004147.1_-_CDS_translation,Drosophilidae,4,3
_DROSOPHILA_PARTHENOGENETICA.nanopore_contig_103_-_cdtB2_translation,Drosophilidae,4,3
_DROSOPHILA_BIARMIPES_cdtB_translation,Drosophilidae,8,3
_DROSOPHILA_MONIERI_cdtB_translation,Drosophilidae,2,3
_DROSOPHILA_ATRIPEX_cdtB_translation,Drosophilidae,2,3
_DROSOPHILA_PANDORA_cdtb_translation,Drosophilidae,2,3
_DROSOPHILA_ANANASSAE_cdtB_-_LOC26513850_CDS_translation,Drosophilidae,2,3
_DROSOPHILA_PALLIDOSA_cdtB_translation,Drosophilidae,2,3
_DROSOPHILA_ANOMALATA_cdtB_translation,Drosophilidae,2,3
_DROSOPHILA_PARABIPECTINATA_cdtB_translation,Drosophilidae,2,3
_DROSOPHILA_MALERKOTLIANA_putativecdtB_translation,Drosophilidae,2,3
_DROSOPHILA_BIPECTINATA_cdtB_translation,Drosophilidae,2,3
_DROSOPHILA_PSEUDOANANASSAE_cdtB_translation,Drosophilidae,2,3
_DROSOPHILA_MONIERI_fusion_cdtB_translation,Drosophilidae,2,5
_DROSOPHILA_ANANASSAE_fusionA_cdtb_translation,Drosophilidae,2,5
_DROSOPHILA_ANOMALATA_fusionA_cdtB_translation,Drosophilidae,2,5
_DROSOPHILA_PANDORA_fusionA_cdtb_translation,Drosophilidae,2,5
_DROSOPHILA_ANANASSAE_fusionB_cdtB_translation,Drosophilidae,2,5
_DROSOPHILA_ANOMALATA_fusionB_cdtB_translation,Drosophilidae,2,5
_DROSOPHILA_PANDORA_fusionB_cdtB_translation,Drosophilidae,2,5
_DROSOPHILA_PALLIDOSA_fusionB_cdtb_translation,Drosophilidae,2,5
_DROSOPHILA_ATRIPEX_CSNg1_fusion_cdtB_translation,Drosophilidae,2,5
_DROSOPHILA_PSEUDOANANASSAE_fusion_cdtB_translation,Drosophilidae,2,5
_DROSOPHILA_PARABIPECTINATA_fusion_cdtB_translation,Drosophilidae,2,5
_DROSOPHILA_BIPECTINATA_fusion_cdtB_translation,Drosophilidae,2,5
_DROSOPHILA_MALERKOTLIANA_fusion_cdtB_translation,Drosophilidae,2,5
_DROSOPHILA_VARIANS_fusion_cdtb_translation,Drosophilidae,2,5
_DROSOPHILA_ERCEPEAE_cdtB_translation,Drosophilidae,2,3
_DROSOPHILA_MERINA_cdtB_translation,Drosophilidae,2,3
_DROSOPHILA_MERINA_fusion_cdtB_translation,Drosophilidae,2,5
_DROSOPHILA_VALLISMAIA_cdtB_translation,Drosophilidae,2,3
_DROSOPHILA_VARIANS_cdtB_translation,Drosophilidae,2,3
_DROSOPHILA_VARIANS_putativeCdtB_translation,Drosophilidae,2,3
_ZYGOTHRICA_FLAVOFINIRA.nanopore_contig_129_1_-_putative_cdtb_translation,Drosophilidae,1,1
_ZAPRIONUS_LINEOSUS.GCA_035044505.1_JAWNNX010000029_-_cdtb_translation,Drosophilidae,1,1
_HIRTODROSOPHILA_TRIVITTATA.nanopore_contig_1026_1_-_CdtB_translation,Drosophilidae,1,1
_DROSOPHILA_COLORATA.nanopore_contig_843_1_extraction_Copy_extraction_-_putative_cdtb_translation,Drosophilidae,1,1
_DROSOPHILA_LACERTOSA.GCA_004143845_SCDZ01000318.1_-_CdtB1_translation,Drosophilidae,1,1
_DROSOPHILA_MACULINOTATA.nanopore_contig_377_extraction_-_putative_cdtb_translation,Drosophilidae,1,1
_DROSOPHILA_PSEUDOTALAMANCANA.nanopore_contig_343_-_cdtb_translation,Drosophilidae,1,1
_DROSOPHILA_SORDIDULA.nanopore_contig_106_-_Putative_CdtB_translation,Drosophilidae,1,1
_DROSOPHILA_FLAVOPINICOLA.nanopore_contig_411_1_extraction_-_putative_Cdtb_translation,Drosophilidae,1,1
_DROSOPHILA_PRIMAEVA.flye_contig_279_extraction_2_-_putative_cdtb_translation,Drosophilidae,1,1
_SCAPTOMYZA_PALLIDA.GCA_018152965_JAECXP010000233._extraction_-_CDS_translation,Drosophilidae,1,2
_SCAPTOMYZA_MONTANA.GCA_018904305_JAEIGR010000004._-_putative_cdtb_translation,Drosophilidae,1,2
_SCAPTOMYZA_FLAVA.GCA_030179655_JARNME010000029.1_-_CdtB_translation,Drosophilidae,1,2
_SCAPTOMYZA_PARVA.nanopore_contig_49_1_-_cdtB3_translation,Drosophilidae,1,2
